Date : 2026-06-05 08:21:36
Directory : c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api
Total : 128 files,  13175 codes, 1062 comments, 1265 blanks, all 15502 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\app\Models\StudentAnswer.php                                                   | PHP        |          8 |          1 |          4 |         13 |
| c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\app\Models\StudyPlan.php                                                       | PHP        |         18 |          1 |          7 |         26 |
| c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\app\Models\Teacher.php                                                         | PHP        |         25 |          0 |          8 |         33 |
| c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\app\Models\User.php                                                            | PHP        |         41 |         17 |         16 |         74 |
| c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\app\Models\Vacancy.php                                                         | PHP        |         45 |          1 |         16 |         62 |
| c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\app\Providers\AppServiceProvider.php                                           | PHP        |         20 |          7 |          5 |         32 |
| c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\bootstrap\app.php                                                              | PHP        |         38 |          1 |         11 |         50 |
| c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\bootstrap\providers.php                                                        | PHP        |          4 |          0 |          2 |          6 |
| c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\composer.json                                                                  | JSON       |         88 |          0 |          1 |         89 |
| c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\composer.lock                                                                  | JSON       |      8,475 |          0 |          1 |      8,476 |
| c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\config\app.php                                                                 | PHP        |         22 |         82 |         23 |        127 |
| c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\config\auth.php                                                                | PHP        |         42 |         74 |         16 |        132 |
| c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\config\cache.php                                                               | PHP        |         64 |         35 |         19 |        118 |
| c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\config\cors.php                                                                | PHP        |         11 |          0 |          9 |         20 |
| c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\config\database.php                                                            | PHP        |        118 |         43 |         23 |        184 |
| c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\config\filesystems.php                                                         | PHP        |         36 |         32 |         13 |         81 |
| c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\config\logging.php                                                             | PHP        |         79 |         33 |         21 |        133 |
| c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\config\mail.php                                                                | PHP        |         57 |         43 |         19 |        119 |
| c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\config\queue.php                                                               | PHP        |         65 |         45 |         20 |        130 |
| c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\config\sanctum.php                                                             | PHP        |         17 |         54 |         14 |         85 |
| c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\config\services.php                                                            | PHP        |         23 |         11 |          9 |         43 |
| c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\config\session.php                                                             | PHP        |         23 |        160 |         35 |        218 |
| c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\database\factories\TeacherFactory.php                                          | PHP        |         13 |          0 |          6 |         19 |
| c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\database\factories\UserFactory.php                                             | PHP        |         25 |         14 |          6 |         45 |
| c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\database\migrations\00000_02_02_141609_create_teachers_table.php               | PHP        |         29 |          6 |         10 |         45 |
| c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\database\migrations\0000_01_01_130349_create_areas_table.php                   | PHP        |         21 |          6 |          4 |         31 |
| c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\database\migrations\0001_01_01_000000_create_users_table.php                   | PHP        |         41 |          6 |          8 |         55 |
| c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\database\migrations\0001_01_01_000001_create_cache_table.php                   | PHP        |         25 |          6 |          5 |         36 |
| c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\database\migrations\0001_01_01_000002_create_jobs_table.php                    | PHP        |         46 |          6 |          6 |         58 |
| c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\database\migrations\0006_02_02_125057_create_courses_table.php                 | PHP        |         30 |          6 |          6 |         42 |
| c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\database\migrations\2026_02_01_152547_create_personal_access_tokens_table.php  | PHP        |         24 |          6 |          4 |         34 |
| c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\database\migrations\2026_02_02_234014_create_activity_table.php                | PHP        |         28 |          6 |          7 |         41 |
| c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\database\migrations\2026_02_02_234037_create_class_table.php                   | PHP        |         29 |          6 |          4 |         39 |
| c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\database\migrations\2026_02_02_235023_create_alternative_table.php             | PHP        |         21 |          6 |          4 |         31 |
| c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\database\migrations\2026_02_03_123452_create_vacancy_table.php                 | PHP        |         27 |          6 |          4 |         37 |
| c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\database\migrations\2026_02_03_125623_create_curriculum_table.php              | PHP        |         46 |          6 |          9 |         61 |
| c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\database\migrations\2026_02_03_141054_create_student-course_relation-table.php | PHP        |         22 |          7 |          4 |         33 |
| c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\database\migrations\2026_03_08_005337_tb_study_plans.php                       | PHP        |         22 |          8 |          4 |         34 |
| c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\database\migrations\2026_03_10_000447_tb_student_answers.php                   | PHP        |         26 |          8 |          8 |         42 |
| c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\database\migrations\2026_03_31_001700_tb_lesson_completed.php                  | PHP        |         24 |          7 |          9 |         40 |
| c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\database\migrations\2026_04_11_122239_tb_activity_progress.php                 | PHP        |         23 |          7 |         10 |         40 |
| c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\database\migrations\2026_04_14_225613_tb_password_resets.php                   | PHP        |         20 |          7 |          4 |         31 |
| c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\database\seeders\ActivitySeeder.php                                            | PHP        |         63 |          0 |          4 |         67 |
| c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\database\seeders\AlternativeSeeder.php                                         | PHP        |         39 |          0 |          5 |         44 |
| c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\database\seeders\AreasSeeder.php                                               | PHP        |         43 |          3 |          8 |         54 |
| c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\database\seeders\ClassCourseSeeder.php                                         | PHP        |         25 |          0 |          6 |         31 |
| c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\database\seeders\CourseSeeder.php                                              | PHP        |         78 |          0 |          4 |         82 |
| c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\database\seeders\DatabaseSeeder.php                                            | PHP        |         23 |          3 |         11 |         37 |
| c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\database\seeders\Persons.php                                                   | PHP        |         52 |          4 |          8 |         64 |
| c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\database\seeders\StudyPlanSeeder.php                                           | PHP        |         57 |          0 |          4 |         61 |
| c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\database\seeders\VacancySeeder.php                                             | PHP        |         84 |          0 |          5 |         89 |
| c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\lang\en\auth.php                                                               | PHP        |          6 |         10 |          5 |         21 |
| c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\lang\en\pagination.php                                                         | PHP        |          5 |         10 |          5 |         20 |
| c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\lang\en\passwords.php                                                          | PHP        |          8 |         10 |          5 |         23 |
| c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\lang\en\validation.php                                                         | PHP        |        162 |         30 |          9 |        201 |
| c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\lang\pt-BR\validation.php                                                      | PHP        |         76 |          0 |          4 |         80 |
| c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\package.json                                                                   | JSON       |         17 |          0 |          1 |         18 |
| c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\phpunit.xml                                                                    | XML        |         35 |          0 |          1 |         36 |
| c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\public\index.php                                                               | PHP        |         10 |          4 |          7 |         21 |
| c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\resources\css\app.css                                                          | CSS        |          9 |          0 |          3 |         12 |
| c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\resources\js\app.js                                                            | JavaScript |          1 |          0 |          1 |          2 |
| c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\resources\js\bootstrap.js                                                      | JavaScript |          3 |          0 |          2 |          5 |
| c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\resources\views\emails\reset-password.blade.php                                | PHP        |         42 |          0 |          8 |         50 |
| c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\resources\views\emails\teacher_approved.blade.php                              | PHP        |         67 |          0 |         14 |         81 |
| c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\routes\api.php                                                                 | PHP        |        116 |          1 |         47 |        164 |
| c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\routes\console.php                                                             | PHP        |          6 |          0 |          3 |          9 |
| c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\routes\web.php                                                                 | PHP        |         10 |          0 |          4 |         14 |
| c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\tests\Feature\ExampleTest.php                                                  | PHP        |         11 |          4 |          5 |         20 |
| c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\tests\TestCase.php                                                             | PHP        |          6 |          1 |          4 |         11 |
| c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\tests\Unit\ExampleTest.php                                                     | PHP        |         10 |          3 |          4 |         17 |
| c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\vite.config.js                                                                 | JavaScript |         17 |          0 |          2 |         19 |
| Total                                                                                                                                             |            |     13,175 |      1,062 |      1,265 |     15,502 |
+---------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
